Unnamed: 0,league,split,week,game,date,patchno,side,team,teamdragkills,elders,herald,teambaronkills,totalgold,earnedgpm,cspm
1414,CBLoL,2019-2,1,1,2019-06-01 12:56:52.000022400,9.1,Blue,INTZ,0.0,0.0,1.0,0.0,47294.0,865.9828326180258,30.450643776824034
1415,CBLoL,2019-2,1,1,2019-06-01 12:56:52.000022400,9.1,Red,Redemption,4.0,0.0,0.0,2.0,59230.0,1250.188841201717,29.742489270386265
1426,LCK,2019-2,2.1,1,2019-06-12 02:01:37.000041599,9.11,Blue,Hanwha Life Esports,1.0,0.0,1.0,0.0,46506.0,844.5250134480905,32.72727272727273
1427,LCK,2019-2,2.1,1,2019-06-12 02:01:37.000041599,9.11,Red,Afreeca Freecs,3.0,0.0,0.0,1.0,54998.0,1118.6078536847767,33.85691231845078
1438,LCK,2019-2,2.1,2,2019-06-12 03:50:38.999990400,9.11,Blue,Afreeca Freecs,3.0,0.0,1.0,2.0,63939.0,1355.3270440251574,36.0062893081761
1439,LCK,2019-2,2.1,2,2019-06-12 03:50:38.999990400,9.11,Red,Hanwha Life Esports,1.0,0.0,0.0,0.0,52508.0,995.8616352201255,32.452830188679236
1450,LCK,2019-2,2.1,1,2019-06-12 04:51:18.000028800,9.11,Blue,Griffin,0.0,0.0,1.0,0.0,45652.0,912.0619621342513,32.392426850258175
1451,LCK,2019-2,2.1,1,2019-06-12 04:51:18.000028800,9.11,Red,Sandbox Gaming,4.0,0.0,0.0,1.0,58473.0,1353.4044750430294,36.45438898450946
1462,LCK,2019-2,2.1,2,2019-06-12 06:41:51.000000000,9.11,Blue,Sandbox Gaming,1.0,0.0,1.0,0.0,44315.0,911.4890597279716,34.311058545239504
1463,LCK,2019-2,2.1,2,2019-06-12 06:41:51.000000000,9.11,Red,Griffin,3.0,0.0,0.0,1.0,60985.0,1502.9733885274984,38.71082199881727
1474,LCK,2019-2,2.1,3,2019-06-12 07:42:13.999968000,9.11,Blue,Griffin,1.0,0.0,0.0,0.0,36996.0,915.5768406004289,31.222301644031447
1475,LCK,2019-2,2.1,3,2019-06-12 07:42:13.999968000,9.11,Red,Sandbox Gaming,2.0,0.0,1.0,1.0,46389.0,1318.4217298070052,33.709792709077924
1486,LCK,2019-2,2.2,1,2019-06-13 00:53:42.000028800,9.11,Blue,Gen.G,4.0,0.0,0.0,0.0,60167.0,1278.32154340836,37.49196141479099
1487,LCK,2019-2,2.2,1,2019-06-13 00:53:42.000028800,9.11,Red,Jin Air Green Wings,0.0,0.0,1.0,0.0,48929.0,916.9710610932477,34.37299035369775
1498,LCK,2019-2,2.2,2,2019-06-13 03:54:34.000041599,9.11,Blue,Jin Air Green Wings,0.0,0.0,1.0,0.0,54442.0,1010.7522935779816,30.15290519877676
1499,LCK,2019-2,2.2,2,2019-06-13 03:54:34.000041599,9.11,Red,Gen.G,4.0,0.0,0.0,2.0,67724.0,1416.9296636085626,37.553516819571854
