,league,split,week,game,date,patchno,side,team,teamdragkills,elders,herald,teambaronkills,totalgold,earnedgpm,cspm
478,LEC,2019-2,1,2,43624.49277777778,9.11,Blue,Splyce,1.0,0.0,0.0,1.0,54391.0,1271.232682060391,33.8898756660746
479,LEC,2019-2,1,2,43624.49277777778,9.11,Red,Vitality,2.0,0.0,1.0,0.0,48331.0,1055.9573712255774,32.93072824156305
490,LEC,2019-2,1,2,43624.53126157408,9.11,Blue,Misfits,5.0,0.0,0.0,0.0,68194.0,1058.3999999999999,30.95
491,LEC,2019-2,1,2,43624.53126157408,9.11,Red,Fnatic,1.0,0.0,1.0,2.0,78568.0,1317.75,33.825
502,LEC,2019-2,1,2,43624.57900462963,9.11,Blue,Origen,1.0,0.0,0.0,0.0,61207.0,1076.4948259642522,30.47977422389464
503,LEC,2019-2,1,2,43624.57900462963,9.11,Red,G2 Esports,4.0,0.0,1.0,1.0,71197.0,1358.4327375352777,33.10442144873001
514,LCK,2019-2,1.3,1,43623.03538194444,9.11,Blue,SK Telecom T1,2.0,1.0,1.0,1.0,84349.0,1197.618320610687,36.00872410032715
515,LCK,2019-2,1.3,1,43623.03538194444,9.11,Red,Jin Air Green Wings,4.0,1.0,0.0,2.0,85149.0,1215.0665212649944,34.00218102508178
526,LCK,2019-2,1.3,2,43623.17025462963,9.11,Blue,Jin Air Green Wings,3.0,1.0,0.0,2.0,82110.0,1231.8979824895318,30.856490293110014
527,LCK,2019-2,1.3,2,43623.17025462963,9.11,Red,SK Telecom T1,3.0,0.0,1.0,0.0,76410.0,1101.7114579368101,36.977540921202895
538,LCK,2019-2,1.3,3,43623.21423611111,9.11,Blue,SK Telecom T1,3.0,0.0,0.0,0.0,61164.0,1292.0127388535032,37.07006369426752
539,LCK,2019-2,1.3,3,43623.21423611111,9.11,Red,Jin Air Green Wings,1.0,0.0,1.0,1.0,50675.0,957.968152866242,33.248407643312106
550,LCK,2019-2,1.3,1,43623.25524305556,9.11,Blue,Kingzone DragonX,2.0,0.0,1.0,2.0,58795.0,1176.6915887850469,32.46105919003115
551,LCK,2019-2,1.3,1,43623.25524305556,9.11,Red,Gen.G,2.0,0.0,0.0,0.0,48695.0,862.0498442367601,32.585669781931465
562,LCK,2019-2,1.3,2,43623.319548611114,9.11,Blue,Gen.G,0.0,0.0,0.0,0.0,41501.0,877.7153465346536,33.08168316831683
563,LCK,2019-2,1.3,2,43623.319548611114,9.11,Red,Kingzone DragonX,2.0,0.0,1.0,1.0,56883.0,1448.829207920792,36.757425742574256
574,LCK,2019-2,1.4,1,43624.07079861111,9.11,Blue,Hanwha Life Esports,2.0,0.0,1.0,2.0,61453.0,1183.9641255605377,29.775784753363226
575,LCK,2019-2,1.4,1,43624.07079861111,9.11,Red,KT Rolster,1.0,0.0,0.0,0.0,49978.0,840.9147982062777,31.62929745889387
586,CBLoL,2019-2P,SF,3,43702.540034722224,9.16,Blue,KaBuM,1.0,0.0,0.0,0.0,43730.0,900.5714285714286,31.357142857142858
587,CBLoL,2019-2P,SF,3,43702.540034722224,9.16,Red,INTZ,3.0,0.0,1.0,1.0,55721.0,1328.8214285714287,32.42857142857143
598,LCK,2019-2,1.4,2,43624.160266203704,9.11,Blue,KT Rolster,3.0,1.0,1.0,3.0,87509.0,1110.045984671776,30.669776741086306
599,LCK,2019-2,1.4,2,43624.160266203704,9.11,Red,Hanwha Life Esports,4.0,1.0,0.0,1.0,90137.0,1162.5884705098301,33.048983672109294
610,LCK,2019-2,1.4,1,43624.23746527778,9.11,Blue,Damwon Gaming,2.0,0.0,1.0,0.0,42482.0,884.504854368932,34.33252427184466
611,LCK,2019-2,1.4,1,43624.23746527778,9.11,Red,Griffin,2.0,0.0,0.0,1.0,58745.0,1476.604368932039,42.779126213592235
622,LCK,2019-2,1.4,2,43624.28233796296,9.11,Blue,Griffin,3.0,0.0,1.0,2.0,77372.0,1350.8239345673699,38.484718037021096
623,LCK,2019-2,1.4,2,43624.28233796296,9.11,Red,Damwon Gaming,1.0,0.0,0.0,0.0,66196.0,1062.162720619888,37.03831252690486
634,LCK,2019-2,1.5,1,43625.07344907407,9.11,Blue,Sandbox Gaming,1.0,0.0,0.0,1.0,60172.0,1099.6157205240174,34.614264919941775
635,LCK,2019-2,1.5,1,43625.07344907407,9.11,Red,Kingzone DragonX,2.0,0.0,1.0,1.0,65610.0,1257.9272197962155,33.94468704512373
646,LCK,2019-2,1.5,2,43625.162314814814,9.11,Blue,Kingzone DragonX,1.0,0.0,1.0,1.0,56458.0,1409.284403669725,34.31192660550459
647,LCK,2019-2,1.5,2,43625.162314814814,9.11,Red,Sandbox Gaming,2.0,0.0,0.0,0.0,46991.0,1061.8715596330276,34.93577981651376
658,LCK,2019-2,1.5,1,43625.199328703704,9.11,Blue,Afreeca Freecs,3.0,0.0,1.0,2.0,73613.0,1151.9804639804638,30.720390720390718
659,LCK,2019-2,1.5,1,43625.199328703704,9.11,Red,SK Telecom T1,3.0,1.0,0.0,0.0,69550.0,1052.7619047619046,32.869352869352866
670,LCK,2019-2,1.5,2,43625.291134259256,9.11,Blue,SK Telecom T1,3.0,1.0,1.0,1.0,75522.0,1289.9410004275333,32.552372808892684
671,LCK,2019-2,1.5,2,43625.291134259256,9.11,Red,Afreeca Freecs,3.0,0.0,0.0,0.0,65294.0,1027.5724668661821,32.50106883283454
682,LCK,2019-2,1.5,3,43625.334814814814,9.11,Blue,Afreeca Freecs,3.0,0.0,1.0,1.0,61406.0,1339.0725893824485,35.102925243770315
683,LCK,2019-2,1.5,3,43625.334814814814,9.11,Red,SK Telecom T1,1.0,0.0,0.0,0.0,51302.0,1010.6652221018418,34.3228602383532
694,CBLoL,2019-2,1,1,43617.45226851852,9.1,Blue,Flamengo,3.0,0.0,1.0,2.0,55713.0,1301.2042253521126,33.30985915492958
695,CBLoL,2019-2,1,1,43617.45226851852,9.1,Red,paiN Gaming,0.0,0.0,0.0,0.0,43719.0,878.8802816901409,29.401408450704228
706,CBLoL,2019-2,1,1,43617.49905092592,9.1,Blue,Uppercut,1.0,0.0,1.0,1.0,46777.0,1270.4740843123705,31.306150656530754
707,CBLoL,2019-2,1,1,43617.49905092592,9.1,Red,CNB,2.0,0.0,0.0,0.0,36757.0,854.9937802349689,31.845196959225984
718,CBLoL,2019-2,1,1,43617.576203703706,9.1,Blue,Team One,1.0,0.0,0.0,0.0,55884.0,946.0562172463078,31.72939494997618
719,CBLoL,2019-2,1,1,43617.576203703706,9.1,Red,KaBuM,4.0,0.0,1.0,2.0,70386.0,1360.5964745116723,34.50214387803716
730,CBLoL,2019-2,1,2,43618.44310185185,9.1,Blue,paiN Gaming,1.0,1.0,1.0,1.0,91860.0,1151.7816764132554,31.773879142300196
731,CBLoL,2019-2,1,2,43618.44310185185,9.1,Red,CNB,5.0,1.0,0.0,2.0,91330.0,1141.450292397661,31.96881091617934
742,CBLoL,2019-2,1,2,43618.5103125,9.1,Blue,Uppercut,3.0,0.0,1.0,1.0,58487.0,1334.8977272727273,34.70454545454545
743,CBLoL,2019-2,1,2,43618.5103125,9.1,Red,Team One,1.0,0.0,0.0,0.0,43975.0,840.1704545454546,30.102272727272727
754,CBLoL,2019-2,1,2,43618.5475,9.1,Blue,Redemption,1.0,0.0,0.0,0.0,58073.0,990.3080546396609,28.629298162976923
755,CBLoL,2019-2,1,2,43618.5475,9.1,Red,KaBuM,4.0,0.0,1.0,1.0,68268.0,1278.4380593499764,33.12293923692887
766,CBLoL,2019-2,1,2,43618.59206018518,9.1,Blue,INTZ,1.0,0.0,1.0,0.0,59706.0,1151.0629722921915,30.1360201511335
767,CBLoL,2019-2,1,2,43618.59206018518,9.1,Red,Flamengo,4.0,0.0,0.0,2.0,61483.0,1204.7758186397982,33.70277078085642
778,CBLoL,2019-2,2,1,43624.4540625,9.11,Blue,Redemption,4.0,0.0,1.0,2.0,63207.0,1411.8625204582652,35.777414075286416
